____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|        20|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,03190|   0,05401|  -0,00397|         0|         0|  -0,13848|  -0,22889|  -0,01594|         0|         0|   0,74222|  -0,50017|  -0,07862|         0|         0|$|  -0,28472|
|        21|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,10238|   0,02975|   0,08792|         0|         0|  -0,23976|  -0,59397|  -0,39581|         0|         0|  -0,50017|   1,06636|  -0,36138|         0|         0|$|  -0,15408|
|        22|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,02032|   0,05767|  -0,03399|   0,05245|  -0,01067|   0,08923|  -0,12392|  -0,25112|  -0,23093|  -0,00326|  -0,07862|  -0,36138|   0,98448|  -0,36874|  -0,05121|$|  -0,07813|
|        23|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07446|   0,01320|   0,11819|         0|         0|  -0,18003|  -0,52771|  -0,63883|         0|         0|  -0,36874|   1,23319|  -0,21964|$|  -0,14280|
|        24|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|$|   8,00000|
____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|         9|        10|        11|        12|        13|        14|        15|        16|        17|        18|        19|        20|        21|        22|        23|        24|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   0,79006|  -0,25189|  -0,04282|         0|         0|  -0,25189|  -0,44941|   0,14032|         0|         0|  -0,04282|   0,14032|  -0,02797|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,18210|
|         1|  -0,25189|   1,37841|  -0,15220|         0|         0|  -0,30362|  -0,85310|  -0,23195|         0|         0|   0,07260|   0,02421|   0,07532|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,06682|
|         2|  -0,04282|  -0,15220|   1,17513|   0,11514|  -0,11430|   0,04584|  -0,42902|  -0,73155|  -0,37737|   0,16032|  -0,01096|   0,10259|   0,02166|   0,07522|  -0,02343|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,05213|
|         3|         0|         0|   0,11514|   1,68730|   0,08799|         0|         0|  -0,21290|  -1,55000|  -0,27376|         0|         0|   0,05091|   0,15057|   0,05399|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,13260|
|         4|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|         5|  -0,25189|  -0,30362|   0,04584|         0|         0|   1,34377|  -1,05321|  -0,00262|         0|         0|  -0,13935|  -0,23595|   0,09354|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,72840|
|         6|  -0,44941|  -0,85310|  -0,42902|         0|         0|  -1,05321|   1,87014|  -0,80963|         0|         0|  -0,24802|  -0,63284|  -0,10458|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,26726|
|         7|   0,14032|  -0,23195|  -0,73155|  -0,21290|   0,12351|  -0,00262|  -0,80963|   1,64749|  -0,36307|  -0,12845|  -0,04581|  -0,48988|  -0,52608|  -0,21631|   0,11093|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,20850|
|         8|         0|         0|  -0,37737|  -1,55000|  -0,35020|         0|         0|  -0,36307|   2,12076|  -0,18982|         0|         0|  -0,25811|  -1,16729|  -0,15482|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,53041|
|         9|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        10|  -0,04282|   0,07260|  -0,01096|         0|         0|  -0,13935|  -0,24802|  -0,04581|         0|         0|   1,14703|  -0,90431|  -0,02463|         0|         0|   0,11796|  -0,38661|   0,07706|         0|         0|  -0,11710|   0,16425|  -0,02400|         0|         0|$|  -0,54630|
|        11|   0,14032|   0,02421|   0,10259|         0|         0|  -0,23595|  -0,63284|  -0,48988|         0|         0|  -0,90431|   1,57448|  -0,73331|         0|         0|  -0,21390|  -0,21704|  -0,23739|         0|         0|   0,05240|  -0,07754|   0,10587|         0|         0|$|  -0,20045|
